151,Lécluse,1,11
152,Olonzac,1,11
153,Cussey-sur-l'Ognon,1,11
154,Aumale,1,11
155,Gouy-sous-Bellonne,1,11
156,Bessé-sur-Braye,1,12
157,Incheville,1,13
158,Gamaches,1,13
159,Entre-deux-Guiers,1,13
160,Sablons,1,13
161,Arleux,1,13
162,Blangy-sur-Bresle,1,13
163,Vayrac,1,14
164,Saint-Georges-sur-Cher,1,14
165,Seyssel,1,14
166,Saint-Ouen-de-Thouberville,1,14
167,Châtenois-les-Forges,1,14
251,Pontacq,2,21
252,Plestin-les-Grèves,2,21
253,Ivry-la-Bataille,2,21
254,Montréjeau,2,21
255,Descartes,2,21
256,Chazelles-sur-Lyon,2,21
257,Chauffailles,2,21
258,Chagny,2,21
259,Castillon-la-Bataille,2,21
260,Aire-sur-l'Adour,2,22
261,Terrasson-Lavilledieu,2,22
262,Raon-l'Étape,2,22
263,Condé-en-Normandie,2,22
264,Beaucourt,2,22
265,Le Malesherbois,2,22
266,Souppes-sur-Loing,2,22
267,Carhaix-Plouguer,2,22
268,Saint-Rambert-d'Albon,2,22
269,Pontcharra,2,22
270,Digoin,2,22
351,Brassac-les-Mines,3,31
352,Montpon-Ménestérol,3,31
353,Saint-Vallier,3,31
354,Épernon,3,31
355,Ézy-sur-Eure,3,31
356,Saint-Lubin-des-Joncherets-Nonancourt,3,31
357,Gisors,3,31
358,Allevard,3,31
359,Eu,3,32
360,Valserhône,3,32
361,Le Grau-du-Roi,3,32
362,Clisson,3,32
451,Belleville-en-Beaujolais,4,41
452,Esch-sur-Alzette (LUX)-Villerupt (partie française),4,41
453,Le Pont-de-Beauvoisin,4,41
454,Honfleur,4,41
455,Jœuf,4,41
456,Redon,4,41
457,Saint-Laurent-de-la-Salanque,4,41
458,Marmande,4,42
459,Tournon-sur-Rhône,4,43
460,Saint-Dizier,4,43
461,Beaucaire,4,43
462,Dinard,4,43
463,Persan-Beaumont-sur-Oise,4,43
464,Alençon,4,44
465,Sallanches,4,44
551,Lunel,5,51
552,Arles,5,51
553,Montélimar,5,51
554,Mâcon,5,51
555,Bergerac,5,51
556,Saint-Omer,5,52
557,Brive-la-Gaillarde,5,52
558,Belfort,5,52
559,Vienne,5,52
651,Montbéliard,6,61
652,Valence,6,61
653,Genève (SUI)-Annemasse (partie française),6,61
751,Bayonne (partie française),7,71
752,Béthune,7,72
753,Saint-Étienne,7,72
754,Avignon,7,72
755,Rouen,7,72
756,Douai-Lens,7,73
757,Toulon,7,73
758,Toulouse,7,73
759,Marseille-Aix-en-Provence,7,73
760,Lyon,7,73
851,Paris,8,80
1101,Saint-Martin-du-Frêne,1,11
1102,Échenevex,1,11
1103,Versonnex,1,11
1104,Châtillon-la-Palud,1,11
1105,Chalamont,1,11
1106,Polliat,1,12
1107,Saint-Maurice-de-Gourdans,1,12
1108,Buellas,1,12
1109,Vonnas,1,12
1110,Pont-d'Ain,1,12
1111,Culoz,1,13
1112,Loyettes,1,13
1113,Attignat,1,13
1114,Feillens,1,13
1115,Saint-André-de-Corcy,1,13
1116,Montagnat,1,13
1117,Villieu-Loyes-Mollon,1,13
1118,Péron,1,13
1119,Montrevel-en-Bresse,1,13
1120,Replonges,1,13
1121,Jujurieux,1,13
1122,Crozet,1,13
1123,Ceyzériat,1,14
1124,Nantua,1,14
1125,Pont-de-Vaux,1,14
1126,Crottet-Pont-de-Veyle,1,14
1127,Saint-Didier-sur-Chalaronne-Thoissey,1,14
1128,Villars-les-Dombes,1,14
1129,Plateau d'Hauteville,1,14
1130,Châtillon-sur-Chalaronne,1,14
1201,Bâgé-Dommartin,2,21
1202,Béligneux,2,21
1203,Montréal-la-Cluse,2,22
1204,Lagnieu,2,22
1205,Divonne-les-Bains (partie française),2,22
1301,Belley,3,31
1302,Meximieux,3,31
1303,Ambérieu-en-Bugey,3,32
1401,Gex,4,41
1402,Oyonnax,4,43
1501,Bourg-en-Bresse,5,51
2101,Vailly-sur-Aisne,1,11
2102,Sissonne,1,11
2103,La Ferté-Milon,1,11
2104,Braine,1,11
2105,Nesles-la-Montagne,1,11
2106,Marle,1,11
2107,Saint-Gobain,1,11
2108,Venizel,1,12
2109,Le Nouvion-en-Thiérache,1,12
2110,Villeneuve-sur-Aisne,1,12
2111,Montescourt-Lizerolles,1,12
2112,Fresnoy-le-Grand,1,12
2113,Fère-en-Tardenois,1,13
2114,Origny-Sainte-Benoite,1,13
2115,Étreux,1,13
2116,Saint-Michel,1,13
2117,Vervins,1,13
2118,Pinon,1,14
2119,Guise,1,14
2201,Bohain-en-Vermandois,2,21
2202,Charly-sur-Marne,2,22
2203,Hirson,2,22
2301,Villers-Cotterêts,3,31
2302,Chauny,3,32
2401,Château-Thierry,4,41
2402,Tergnier,4,41
2403,Laon,4,42
2404,Soissons,4,44
2501,Saint-Quentin,5,51
3101,Néris-les-Bains,1,12
3102,Bourbon-l'Archambault,1,12
3103,Dompierre-sur-Besbre,1,13
3104,Varennes-sur-Allier,1,13
3105,Lapalisse,1,13
3106,Saint-Germain-des-Fossés,1,14
3201,Saint-Pourçain-sur-Sioule,2,21
3202,Gannat,2,21
3203,Commentry,2,22
3401,Moulins,4,43
3501,Montluçon,5,51
3502,Vichy,5,51
4101,Aiglun,1,11
4102,Gréoux-les-Bains,1,12
4103,Peyruis,1,12
4104,Volx,1,13
4105,Valensole,1,13
4106,Barcelonnette,1,13
4107,Les Mées,1,13
4108,Villeneuve,1,14
4201,Forcalquier,2,21
4202,Oraison,2,22
4203,Château-Arnoux-Saint-Auban,2,22
4204,Sisteron,2,22
4301,Digne-les-Bains,3,32
4401,Manosque,4,43
5101,L'Argentière-la-Bessée,1,11
5102,Tallard,1,11
5103,Chorges,1,12
5104,Guillestre,1,13
5105,Veynes,1,13
5106,Laragne-Montéglin,1,13
5201,Embrun,2,22
5301,Briançon,3,32
5401,Gap,4,44
6101,Breil-sur-Roya,1,11
6102,L'Escarène,1,12
6103,Saint-Martin-du-Var,1,13
6104,Roquebillière,1,13
6105,Saint-Vallier-de-Thiey,1,13
6106,Sospel,1,13
